name,look,smell,taste,feel,review
Asahi Super Dry,3.0,2.25,2.25,2.75,"Very carbonated. The taste is a little grainy and a little hoppy. The aftertaste is a bit bitter, reminiscent of eating something that is slightly burnt. I don't think it's the best of the Japanese beers, but it isn't the worst. Would I buy it again? No. Would I drink it if someone had it? Maybe. It depends on what else they have.Mar 08, 2021"
Asahi Super Dry,3.5,3.5,4.25,4.0,"Pleasantly surprised with this one. Pours straw colour with no head at all. No smell either. The taste was light but tasty, grainy, with hops notes. Very very dry on the aftertaste. I could see myself having a few more of these
Feb 21 2021Feb 22, 2021"
Asahi Super Dry,3.5,3.5,3.5,3.5,"You will not rave about asahi superdry. If you choose to drink asahi super dry, and expect it to be anything more or less than a perfectly serviceable if a bit pedestrian beer, you will be disappointed. What I would call a blue collar beer, it does its job. It's does a good job. It is as inoffensive as it is easy to drink, which is to say very.Jan 16, 2021"
Asahi Super Dry,3.5,3.25,3.0,2.75,"Asahi Breweries 'Asahi Super Dry' @ 5.0% , served from 500 ml can
A-pour is a light gold from the can to a yellow/gold in the glass with a large white head leaving a fluffy lace foam along the pint
S-rice
T-watery lager
MF-mild carbonation , medium body
Ov-one and done
prost LampertLandJan 02, 2021"
Asahi Super Dry,4.75,3.0,3.0,3.5,"Asahi Super Dry pours into my glass crystal clear, and the color of pale, ripe hay. Thin streams of pinpoint carbonation support a rocky, bone white head with decent retention.
Taking a sniff, the first thing I notice is a faint, sweet aroma. Beyond that, the aroma is impressively neutral. This makes me wonder if Asahi uses rice as an adjunct in their grain bill. Asahi’s overall neutral aroma does come on the back of a very faint hint of bready pale malts. Faint graininess leads into a neutral center and a finish almost completely lacking in character. I don’t even pick up a whiff of hops in the finish, which is disappointing but not unpleasant in character.
Taking a sip, I notice Asahi’s mouthfeel first. It’s slick and smooth up front, with spritzy carbonation leading swiftly into a dry and lasting finish. As with the nose, the flavor profile is neutral, almost to the point of lacking any flavors at all. But only almost. With its faint grainy flavors up front, and neutral center from the use of rice, Asahi still tastes like lager. What’s more, with its smooth mouthfeel, balance, and lack of off flavors Asahi Super Dry tastes like a better version of those lawnmower beers we’ve all been subjected to in our lives.
As lagers go, it occupies that strange place where it borders on being good despite its almost complete lack of any real flavor or character. Despite lacking any of the real flavors I’ve noted in better lager, Asahi is decent tasting in its own right, balanced and refreshing. I will take one of these beers over a mainstream lager any day, especially if I’m having some spicy southeast Asian food for supper.Oct 28, 2020"
Asahi Super Dry,4.75,4.0,4.25,4.0,"When i picked this up i didnt think much of it other than, well i havent tried it. The look when it pours is a medium orange and the head is firm and fluffy which it does stay during the drinking period. The smell reminds me of a European Pils and doesnt vary much depending on temperature. The taste also remind me of a European drop rather than something from Asia as it taste robust and strong and the feel is almost a creamy texture due to the the light carbonation and creamy head. Overall a top beer that surprised me and i will be buying a box next time.Sep 15, 2020"
Asahi Super Dry,4.0,3.75,4.0,4.0,"From a 12oz bottle. Pours a golden color with an inch of white foam. Grassy and slightly sweet smell. Medium body. Grass with prickly carbonation and some floral hops. Deserves a higher rating, this is a well-executed lager that is exactly what it's trying to be.Aug 22, 2020"
Asahi Super Dry,4.0,2.5,3.5,3.5,"2 ounce bottle poured into a tumbler style pint glass.

L: Clear and pale with sparse tiny bubbles rising to the one finger, white head. Leaves a bit of lace.
S: The nose is very weak. Getting only light spicy/herbal hop aroma that disappears with the head.
T: Malty and medium sweet. Bread, caramel and a little corn flavor are kept in check by the mild bitterness. Finishes more dry and bitter.
F: Medium high carbonation make for a crisp but smooth light-medium body.
O: Not bad. My first Japanese Rice Lager. It seems representative but my guess is this is mediocre and there is better to be found.Jul 21, 2020"
Asahi Super Dry,3.75,4.0,4.0,3.5,"Clear, pale gold. Short-lived white, foam head. Steady streaming carbonation. Floral and notable rice sweetness, wheat and biscuity malt. Not “super dry,” somewhat sticky in fact. Still quenching and delicious with spicy and salty fare. Not sure why this is rated so low, granted I rate beers higher on average. It’s possible people are up their own asses?Jul 11, 2020"
Asahi Super Dry,4.0,4.0,4.0,4.0,"I don't find anything ""poor"" about this beer. It had a fantastic amount of carbonation, a nice sweetness with a slight bitterness and a delightfully dry finish. I paired it with homemade Japanese cabbage pancakes. So refreshing, and it paired so well with the rich, fried, spicy doughy food. Yum.Jun 01, 2020"
Asahi Super Dry,3.75,3.0,3.5,3.5,"First off the massive 2 litre can that you can get this in is fantastic. Poured it into a tankard. Really nothing to say about the smell, very light and inoffensive. The feel of this beer is where it's at, so crisp and refreshing. Very mild flavours of sweet malt and corn, dry finish. This is a delicious beer on a hot summer day, would pair well with any food.May 18, 2020"
Asahi Super Dry,4.0,4.0,4.0,4.0,"Beers like this are easily disliked when you're in IPA-mode, and I think that can kinda skew the ratings a bit - see, it has a ""poor"" rating as of this review - but lemme tell ya, there is nothing ""poor"" about this beer - it's actually incredibly drinkable, with a rather rounded body and a clean finish... The malts are clearly present with cereal-grain-like flavors of rice and corn, and the bitterness is mild, herbal, grainy, and freshening, with a smooth but amply-carbonated feel... I was gonna have some caviar with it but went with just the beers because I was enjoying them so - but totally would be great with any kind of sushi, fish, burger, pizza, sandwich, etc. - a solid pairing beer... No bottling date; stamped with L28925 23:09...Feb 29, 2020"
Asahi Super Dry,3.75,3.75,3.75,4.25,"Poured from a 630 ml bottle into a shaker pint glass. Aroma and flavor of grain and rice, I suppose. A touch of caramel but still dry. Full, creamy mouthfeel despite being poured into a frosted glass. No off flavors. I don't know, I guess I just like beer. This was absolutely perfect with a plate of sashimi.Feb 03, 2020"
Asahi Super Dry,3.25,3.25,3.75,3.5,"You might notice my weeb bias towards this. It's nothing special, but where and when you have it makes the brew for me, and slamming 7 of these in a row at the hotel after binging on $200 of kaiten-zushi with friends was definitely worth it - for the record I then went out stumbling into the night listening to city pop, which made it double worth it.Jan 24, 2020"
Asahi Super Dry,3.5,3.75,4.0,3.75,"Very well balanced beer. Enjoyed from an ice cold tallboy can. The lack of malt flavor puts this in the same category as Red Stripe or Tecate, although it is a superior and more complex brew than the aforementioned (especially the latter). Hint of green apples, and a clean fresh finish. One of my new favorites!Jan 17, 2020"
Kloud Original Gravity,4.0,2.5,3.0,2.75,"Cloudy golden body with a sudsy white head and thick lacing. Very sweet nose with cereal malt leading, a whisper of lemon zest is the only contrast. Taste is better: cereal malt, bread dough, and light esters of pear add more complexity, finishing kiss of floral hops and grain relieve the palate of the sweetness. Feel is bloated sweet corn malt textured yet highly carbonated, heavier for style still.Sep 02, 2021"
Kloud Original Gravity,3.75,3.5,4.0,4.25,"Bottle poured into an Averbode Tulip. 
Pours nice Colour is lightly weak. Light aroma of Pilsner Mouthfeel is great. Very slightly tart. Nothing outstanding but a decent lighter beer. I would order againMay 16, 2021"
Kloud Original Gravity,3.5,3.75,3.75,3.5,"Pours a standard translucent gold with a white head. It has a nice all malt smell with slightly spicy and floral hop smells. The taste follows the nose but has a slightly honey sweet taste up front. Overall not bad but not the most memorable.Dec 21, 2020"
Kloud Original Gravity,4.0,4.0,3.5,3.5,"when i first experienced this beer in the context of yet another asian lager, well, meh. but something was teasing my tastebuds and tugging at my memory. then it hit me, kölsch. and as a kölsch this climbs out of the ordinary into the purdy durn gud! da schau her, du schreck! it fell into place and has since become a goto, especially with my local korean market putting it on sale every other week. yeasty, a hit of breadiness, light hopping, mid-range abv. even looks good in my kölsch stange. alles kommt zusammen in ordenung. prost!Nov 05, 2019"
Kloud Original Gravity,3.25,2.75,3.25,3.25,"Good if enjoyed ice cold and in large quantities. Better than American light beers but that’s not saying much. Best served from a frigid bottle into a glass with friends. In a pinch the 500ml cans from the convenience store will do.Jun 26, 2019"
Kloud Original Gravity,3.5,3.5,3.5,3.5,"Got one at Jeong Daepo in Seoul, Korea.
Actually not a bad beer at all. A bit too hoppy, but overall, it went well with Korean BBQ. Also would be great with hot weather.Apr 08, 2019"
Kloud Original Gravity,3.0,3.0,3.25,2.75,"From a bottle at a restaurant in Seoul. Golden color with fluffy white head. Smells of grain with some grassy hops. Light body. Light malt flavors with some corn and grassy hops. One of the better beers in South Korea, although that isn't saying much.Apr 05, 2019"
Kloud Original Gravity,3.75,3.5,3.5,4.0,"Poured into a Seattle Beer Week pint glass. Pours a light to medium golden amber with a two finger white head with thick lacing and very active carbonation. Aroma of grainy malt and light grassy hops, slight grapefruit. Flavor is light, grainy biscuit malt, dry grassy hops; thins out in the finish, but with a nice mellow light biscuity malt flavor with light residual hops. A lightly creamy, medium body; better than expected. Listed here as a German pilsner, but style is not indicated on the bottle. This seems to be mild German pilsner meets adjunct lager. The aroma and initial flavor have a typical pilsner grainy malt flavor, although a bit watered down, then developing an adjunct-like sweet malt taste before thinning out into the light malt finish which once again had light grainy and grassy hop notes. More interesting than an adjunct lager, but thin and mediocre as a pilsner. The body, on the other hand, was more robust than expected and kind of redeemed this one. Although I'd never buy this at home, it would probably be a satisfactory lunch beer where the only alternative is adjunct lager. A step up from most mass produced asian lagers.Nov 15, 2017"
Kloud Original Gravity,1.75,1.25,1.5,1.5,"This beer was watery in almost every aspect. Might be good for when you're doing hardwork or eating greasy food. And yet definitely wouldn't buy this againOct 03, 2017"
Kloud Original Gravity,4.0,3.25,3.75,4.0,"Look: Very clear and light biscuity color. 2-3 finger head. Not very active after recedes.
Smell: Sweet malt, biscuit, and crackers. Not very aromatic.
Taste: Only a slight hop bitterness. Goes right to a sweet light brown sugar and crackers. Dries out at the end. Slightly fruity with white grape undertones and a touch of peach. Slight tang.
Feel: Low-Medium. Thinner beer (by design).
Overall: Decent. Better light lager than many I have had tried.May 13, 2017"
Kloud Original Gravity,3.0,3.0,3.0,3.0,"I purchased a bottle of Kloud for $1.79 USD in San Gabriel, California/USA. 
Look: Kloud had almost no foam.
Smell: Kloud had a vague aroma of fermented grain.
Taste: Kloud had a bland flavor of fermented grains.
Feel: Kloud had extremely light carbonation. Kloud seemed almost flat.
Overall: Kloud is a beer for the people who enjoy drinking bland beers.Mar 09, 2017"
Kloud Original Gravity,3.25,3.0,3.25,3.0,"Taste: super crisp, biscuit, semi sweet malt behind the flavor, smooth, clean finish. Gentle grain nose. Lite Gold, crystal clear, with white head and lots of carbonation. Lite in body. Appetizer ale that""s more of a malty version of a Pilsner than Lager.Dec 05, 2016"
Kloud Original Gravity,2.5,2.5,2.5,2.5,"Bought a 16oz bottle from Don Quiojte $2.99
Golden color
Medium-light mouthfeel
Medium-light carbonation
Malt taste, not much else to describe it
Overall just ok. Between a Bud and a Bud Light. Would not buy againNov 03, 2016"
Kloud Original Gravity,3.75,3.5,3.75,3.75,"330ml bottle - heh, a ""Lotte Liquor""? I'm giggling like Sterling Archer at this outfit's moniker.

This beer pours a clear, bright pale golden yellow colour, with a teeming tower of puffy, loosely foamy, and bubbly bone-white head, which leaves some decent layered, broken webbed lace around the glass as it lazily subsides.

It smells of grainy and biscuity pale malt, a subtle corn-fed sweetness, gentle apple and underripe pear fruity notes, a touch of earthy lager yeast, and some moderately assertive leafy, weedy, and grassy green hoppiness. The taste is gritty and grainy pale malt, more somewhat sugary corn pone essences, a fading generic pome and citrusy fruitiness, and more plain leafy, herbal and wet grassy green hop bitters.

The carbonation is adequate for the quotidian job at hand, via its plain-ass frothiness, the body a so-so medium weight, and mostly smooth, nothing really playing the fool here in terms of interference patterns, as such. It finishes trending dry, the biscuity character of the malt continuing to charm me out of my socks.

Yeah, this is patently the best brew, bar none, that I have ever tried from this Asian country - this 'distillery turned brewery' has certainly got their shit in order, even discounting the perceived corn-ish contributions, which really don't amount to a hill of beans here. If you didn't tell me otherwise, I'd be easily convinced that I was drinking a decent middle-range brew from der Vaterland itself.Aug 05, 2016"
Kloud Original Gravity,3.0,2.25,2.75,3.5,"Overall this is not inline with a typical German pilsner - very little hops presence, very malty and very light and ""adjuncty."" I got this at the local Korean market (merchandised next to the Hite) so I guess I shouldn't be surprised at this underwhelming pilsner offering.Jun 04, 2016"
Kloud Original Gravity,3.25,2.75,2.5,2.5,"Just your standard Adjunct lager brewed in Korea. A little skunkiness, overly sweet, too much carbonation, and not much hop flavor. On par with like a miller. Nothing impressive here.May 11, 2016"
Kloud Original Gravity,3.25,3.0,3.0,4.0,"Produced 1/26/16.

Pours a clear gold with a foamy bone head that settles to wisps of film on top of the beer. Tiny streaks of lace form around the glass on the drink down. Smell is of grain, corn flake, sugar, and grass aromas. Taste is much the same with grain, sweetened corn flake, and grass flavors on the finish. There is a mild amount of bitterness on the palate with each sip. This beer has a good level of carbonation with a crisp mouthfeel. Overall, this is an average beer that is quite decent for a South Korean take on a German beer style. 

Serving type: bottle.Apr 23, 2016"
Kloud Original Gravity,3.0,2.75,3.25,3.25,"Bottle at Kristalbelli, New York, NY

A: The beer is crystal clear yellow in color and has a moderate amount of visible carbonation. It poured with a thin white head that left a collar around the edge of the glass.
S: Moderate aromas of sweet, bready malts are present in the nose. It also seems like there are some notes of adjuncts such as corn.
T: The taste follows the smell, but none of the adjunct aromas that I picked up in the nose are perceptible in the taste. There are some hints of metallic flavors and ginger. Light amounts of grassy hops are also noticeable, but these don't contribute any bitterness and mostly serve to mask any sweetness that you might expect from the malts.
M: It feels light-bodied on the palate and has a moderate amount of carbonation.
O: This beer isn't that bad and doesn't feel that light or watery on the palate. There are also just enough hops to mask any sweetness from the taste.

Serving type: bottleJan 29, 2016"
Kloud Original Gravity,3.0,3.0,3.25,3.25,"Look- Straw color, ok head and lacing. 
Smell- grassy and sweet but also a bit metallic.
Taste- some of the metallic elements from the aroma, are there, but generally there is a sweet taste and also in the finish. Feels very malt forward with virtually no hop bitterness.
Feel- softly carbonated and light.
This one has its moments. It does not have the adjunct tastes of macro lagers yet it doesn't have the hoppiness of a German Pilsner, which makes me wonder about its classification. Regardless, it is an ok beer that will pair well with Asian food.Dec 20, 2015"
Kloud Original Gravity,4.5,4.0,4.0,3.0,"Had this last night at our local sushi place. Nice clean beer with a slight sweetness in the finish. Nothing spectacular. I actually prefer a dry beer with sushi, but this was not bad. No off flavors or aromas. Curious about the description on the bottle regarding ""water free"" brewing. Not sure what that is.Dec 03, 2015"
Kloud Original Gravity,3.5,3.0,2.75,2.25,"Small head that settles to rim bubbles. Some streaks for lace. Straw color and clear. 

Pale malt aroma along with raw grain. A touch stale, maybe just starting to get skunked. 

Very close to a traditional a macro lager. Very high carbonation with a below w average body. A bit sour in the swallow with a short aftertaste.Oct 10, 2015"
Kloud Original Gravity,3.0,2.5,3.25,2.75,"Just a standard mass produced Korean beer; pretty much the same as OB, Cass, and Hite. The best thing about this brew is the fluffy white head that lasted longer than I thought it would. Just 'meh'.Aug 29, 2015"
Kloud Original Gravity,3.0,2.25,2.5,2.5,"L: straw colored, nice lacing, bubbly
S: plain, slightly unpleasant, sour
T: watered down, too malty and tastes similar to malt liquor, cheap-quality, reminds of urine, subtle fruit notes but lacks flavors and aromas, slightly sour
F: light-bodied, very carbonated, 
O: it's okay. recommended to have food (i.e. pizza, tacos, etc) with it than to drink it alone.Dec 31, 2014"
Kloud Original Gravity,4.5,3.25,3.25,3.5,"A: Yellowy gold with a big off-white head. Heaving with small, sparkling bubbles and looks very champagney. Leaves a nice bit of lacing.

S: Peppy kind of yeastiness and notes of dull malt and, er, river-bed silt.

T: In character it’s a German Pilsener lager, albeit a low-end one. It has a soft caramelised malt backbone with some subtle vanilla in the midst and an intermittent citrus finish. You know what, there’s a subtle hint of blackberry in there too. Unfortunately it has a touch of Eurolager dirtiness and corn snacks cheapness. It should be noted that its a terrible palate cleanser and its off flavours really stand out between fuller flavoured beers.

M: The mouthfeel is very soft.

O: Certainly not world class but easily the best thing mass-produced in South Korea. Korean beer ‘pighting!’.May 08, 2014"
Chang Beer,4.0,2.0,2.0,2.0,"Review: 330 ml Bottle of Chang Beer Export: ABV: 5%

With a nice logo of two big elephants facing each other on its label, Chang is the Thai word for elephant, an important animal in Thailand as a symbol of both power and peace.

On pour we get a nice clear yellow colour, with a big frothy white head that is decent enough, and which settles down but maintains. A lot of carbonation, very bubbly and lively

No real lacing.

Overall, not a bad looking beer

On the nose I get an initial sweet piercing smell of lemon but overall not so strong, very faint.

A beery smell, sweet grains, hay, lemon, malts, all good on the nose, but as I mentioned not so strong.....

Taste is bittersweet, soft, clean and relatively easy to drink. Some light grains, but not enough to really get excited about.

Bit of an aftertaste, all bitter. Stringent sweet malts

Too sweet for my liking, and the tastes are not well balanced.

Not a great beer, very little to actually taste. Ok it is a little sessionable, but overall it is not really enjoyable. Bland. I am not a fan.

Apparently the home brew version is meant to be better than the export version, brewed with rice rather than malt, and is a 6.4% strength lager. Perhaps another inspection is needed, on a beach in Pattaya supping an ice cold beer enjoying the sun......Oct 28, 2016"
Chang Beer,3.0,3.0,3.0,3.0,"Bottle poured into a stein 

Clear pale yellow, no carbonation 

One inch dense white foam cap , some lacings 

Very light malt taste 

Session able, quaff able very light taste 

Ok beerMay 06, 2016"
Chang Beer,4.0,2.75,2.25,2.75,"Pours a bright, golden color, with a big, bubbly head.

Smells of slightly herbal hay, accompanied by a gentle leaf quality and sweeter oats. 

A very light, refreshing lager, with a well dosed amount of carbonation.

Tastes of overly sugery malts, wrapping up the whole palate, while a rich note of wheat, topped by a whiff of lemon shine through. 

Too sweet too be enjoyable, while it does provide a convincing freshness, due to the lively carbonation.Apr 16, 2016"
Chang Beer,2.75,2.5,2.5,3.0,"Pours clear, pale yellow in color with 1/4 inch head. Taste is honey, grass, and light skunkiness. Not horrible, but I have had better. Probably would get other lagers before this one.Mar 27, 2016"
Chang Beer,2.0,2.0,2.75,2.5,"Really weak yellow, straw, fizzy appearance beer. Cooked metal can of green bean veggie and corn aroma. 

Taste was somewhat refreshing, highly carbonated, corn and rice kind of mouthfeel sweetness delivery system. Would bang with spicy food.Dec 24, 2015"
Chang Beer,2.75,2.25,2.5,2.25,"Straw plus pour with a thin white head which disappeared immediately; no cap no lace. Slight corn with a suggestion of floral hop nose. Sweet corn flavor. Light mouthfeel and excessively carbonated. Overall, too much sweet creamed corn (DMS) for me...I could not finish...Sep 13, 2015"
Chang Beer,3.5,2.75,3.0,3.25,"A pale yellow brew with almost no head. The flavor is very weak but doesn't have an aftertaste. The aroma is mostly hops and grain and is not bad. This is a session beer. Not horrible but otherwise nondescript.Aug 30, 2015"
Chang Beer,2.5,2.5,2.5,2.5,"A-Pours a straw color with a slight head and lacing
A-Aroma has slight malt hints
T-The taste follows the nose with a slight malt flavor
M-A lifht bodied decently carbonated beer 
O-A decent lagerAug 16, 2015"
Chang Beer,4.5,2.0,4.0,4.0,"Love a cold bottle of Beer Chang! Colour is a very pale blond. Doesn't have a big taste profile but is extremely crisp and refreshing. A perfect beer for a hot day in the sun! Would like to point out an excerpt of the first review I read here on BA, ""Packaging evokes Carlsberg, unfortunately the beer falls short"". I decided to discount his/her rating of 1.67 at that point.Jul 28, 2015"
Chang Beer,2.25,1.5,1.75,1.75,"Had from a 640mL brown glass bottle purchased in Portland, OR

Pours a light golden straw color with a decent bone white head. Solid retention at first, but then dissipates into a very fine and sparse lacing.

Aromas of lightly toasted grain, skunky bran flakes, banana, and caramel malts. 

Subtly fruity on the mid-palate with significant sweetness and ripe melon flavors.

Packaging evokes Carlsberg, unfortunately the beer falls short.Jul 19, 2015"
Chang Beer,3.5,3.25,3.25,3.25,"Nothing spectacular by any means but it's a very sweet, very drinkable Lager that goes down easily on a hot day. 

Not something I'd seek out again but I've had far worse AAL's in my day.Jul 07, 2015"
Chang Beer,3.5,3.75,3.75,3.75,"Cosmos Brewery ""Chang""
12 oz. brown glass bottle, ""BEST BEFORE: 082815""
$1.79 @ Total Wine & More, Claymont, DE

Chang is interesting in that it's got a very grainy/malty and nutty character to it. In the aroma it's so strong that you'd probably think it was ""off"" if you'd never had it before. Most people expect it to be a thin, fizzy golden adjunct lager, but it's actually much more than that, and made from 100% malted barley (and to note, this is the standard exported product, not the one labeled as export, which is also 100% malted barley). 

The grainy character then follows into the flavor with toffee and honey-like notes rising. After a few sips you get used to the idea that it's not a fizzy yellow beer, and if you're like me, find it interesting and unique. It's malty, almost like a Munich helles with a bit of nuttiness and light caramel thrown in. With that said, it does lean a bit towards sweetness, although it never quite gets there and finishes dry. If you're looking for hops, however, they're not here, nor is their bitterness. A pleasant bit of floral and leafy hops make their way through the malt but they never shine.

An interesting and unique ""world lager"" that I'm guessing probably has a German brewer somewhere in its history. Worth trying!Jun 30, 2015"
Chang Beer,3.0,3.0,3.0,3.0,"Pours a clear golden color with white head. Cereal grains and a little sweetness on the nose; follows onto the palate. Finishes a little sweet for a lager.Jun 29, 2015"
Chang Beer,3.5,2.75,3.0,3.0,"From bottle, Pours a clear golden color with white head. Cereal grains and a little sweetness on the nose; follows onto the palate. Finishes a little sweet.Jun 29, 2015"
Chang Beer,3.5,3.5,4.0,4.0,"Taste similar to its other Thailand counterpart Singha. Very easy drinking like most Lagers. Nothing offensive or out of the ordinary with this one. This is a session type of lager.Jun 26, 2015"
Chang Beer,3.0,3.0,3.0,3.0,"The beer pours out into a Duvel glass a bright clear yellow color with a 1/2"" white head that soon recedes to a thin layer of foam with a bit of an irregular island over part of the surface. Sipping leaves scattered small and medium patches of foam that slowly recedes to the liquid. There are also a few legs of lacing.

The aroma is sweet, almost of honey bit without hops showing.

The flavors match the nose in that there's light sweetness and no bitterness.

The mouth feel is crisp and on the light side of medium and there is some slightly prickly carbonation for at least part of the beer. During the medium length finish the sweetness tends to fade, but there isn't much dryness to speak of, just no sweetness.

Overall, this is pretty average, but is the type of thing that many would find refreshing on a hot, humid day.

Overall this is a drinkable beer with no unpleasant feature but nothing particularly notable either. For me, its not something I'll be seeking out in the future as I do like noticeable hops in my beer.Jun 23, 2015"
Chang Beer,3.5,3.5,3.0,4.0,"A: Clear gold, very light foam. 

S: Strong honey smell, relatively fruity. 

T: Light, mild grainy taste, easy to drink at any temperature. 

M: Mild carbonation, relatively smooth. 

R: Overall, this beer's strongest point is how easy it is to drink. Drinking it cold was good, even tepid it was fine. Otherwise, not special, but something I wouldn't ever mind. The taste was rather bland, I would enjoy some more fruity flavor or more carbonation.May 25, 2015"
Chang Beer,4.0,3.25,2.75,2.75,"A: crystal clear; pale gold in color; <1 finger white head that receded to a very thin collar; no lacing;

S: more than anything else, corn; light sweet malt;

T: a little grainy; corn; no bitterness; aftertaste is sweet apple;

M: light to medium bodied; moderate to high carbonation;

O: a bad representation of a style I don't like;May 20, 2015"
Chang Beer,3.0,3.0,3.0,3.0,"L: Pours brilliant gold under a thin, quickly dissipating white foam collar that produces splotchy lace. 
S: Has a moderately light nose with light grains, clean malts and some faint hop spice. 
T: Clean light malts on the palate with a light hop accent. No fruit but a little mineral especially on the finish. 
F: Light, crisp, clean, effervescent. 
O: A thin somewhat bland beer with little to recommend it.May 17, 2015"
Chang Beer,2.0,2.0,2.5,2.75,"Is what it is. Pale yellow. No retention. Fruity aroma with a fair bit of adjunct. Little happiness. Very, very dry. Keep ice cold and slug em back. Pairs decently with Asian cuisine.May 17, 2015"
Chang Beer,3.0,2.5,3.5,3.0,"it got a pale yellowish color when poured with a thin foam head.
The taste is fruity and sweet with a nice aftertaste though it doesn't last very long.Apr 26, 2015"
